,Entry Index,Avg Entry Price,PnL,Direction,Status,tick_volume,atr
270,2023-03-21 01:30:00,1.07225,1,Short,Closed,104,0.00016518822394822062
271,2023-03-21 03:05:00,1.07216,0,Long,Closed,264,0.00016645609599796044
272,2023-03-21 09:15:00,1.07137,1,Short,Closed,161,0.0002319941830088871
273,2023-03-21 09:30:00,1.07077,1,Long,Closed,284,0.0002583641472560082
274,2023-03-21 10:50:00,1.07177,0,Short,Closed,433,0.0003655807458161753
275,2023-03-23 01:30:00,1.08625,0,Short,Closed,111,0.0003257168369785325
276,2023-03-24 00:10:00,1.08304,1,Long,Closed,35,0.000447936107236019
277,2023-03-24 01:25:00,1.08359,1,Short,Closed,182,0.0002695593425089409
278,2023-03-24 02:00:00,1.08318,0,Long,Closed,304,0.00026805033761073834
279,2023-03-24 07:10:00,1.0824799999999999,0,Short,Closed,171,0.0002715765664848824
280,2023-03-24 09:35:00,1.08317,1,Long,Closed,166,0.0002880234267423173
281,2023-03-27 00:35:00,1.07685,0,Short,Closed,14,0.00027071611373166417
282,2023-03-27 03:05:00,1.07676,0,Long,Closed,279,0.0003478189125601185
283,2023-03-27 06:20:00,1.07706,1,Short,Closed,136,0.0002681860345396055
284,2023-03-27 08:05:00,1.0766499999999999,1,Long,Closed,220,0.00023153244300508908
285,2023-03-27 09:05:00,1.07645,1,Short,Closed,372,0.00030302140435472673
286,2023-03-27 09:50:00,1.07626,1,Long,Closed,231,0.000417089159000823
287,2023-03-27 10:20:00,1.07659,1,Short,Closed,488,0.0005123829564620743
288,2023-03-28 01:20:00,1.07996,0,Short,Closed,27,0.00016339504629287672
289,2023-03-28 07:30:00,1.0810799999999998,1,Long,Closed,123,0.00022106658256464826
290,2023-03-28 09:00:00,1.08102,0,Short,Closed,397,0.00026468128547132785
291,2023-03-29 00:15:00,1.08423,1,Long,Closed,50,0.0001958923666597885
292,2023-03-29 03:15:00,1.08461,1,Short,Closed,152,0.000229851222002896
293,2023-03-29 04:55:00,1.08445,0,Long,Closed,148,0.00027897875078990587
294,2023-03-29 07:45:00,1.08386,1,Short,Closed,165,0.00023196772247204546
295,2023-03-29 08:30:00,1.08354,0,Long,Closed,204,0.00025499073343906645
296,2023-03-29 10:55:00,1.08347,0,Short,Closed,237,0.00040359629829066695
297,2023-04-03 01:30:00,1.08331,0,Long,Closed,489,0.000265348455600086
298,2023-04-03 09:50:00,1.08098,0,Short,Closed,240,0.0004064376591105752
299,2023-04-04 00:10:00,1.09012,1,Long,Closed,8,0.00019540078025941568
300,2023-04-04 01:25:00,1.09046,0,Short,Closed,58,0.0001577434331851043
301,2023-04-04 03:15:00,1.09047,0,Long,Closed,186,0.00018904090876748736
302,2023-04-04 08:00:00,1.08944,1,Short,Closed,176,0.000262797453524985
303,2023-04-04 08:55:00,1.08872,1,Long,Closed,186,0.00029557076018199563
304,2023-04-04 10:00:00,1.0907199999999997,0,Short,Closed,361,0.0003841908199329044
305,2023-04-06 00:05:00,1.08995,0,Short,Closed,15,0.00022593815022453812
306,2023-04-06 00:15:00,1.09013,1,Long,Closed,23,0.00021409973157116187
307,2023-04-06 01:35:00,1.09083,1,Short,Closed,55,0.0001568283744131713
308,2023-04-06 03:20:00,1.09026,0,Long,Closed,147,0.00016476083415221333
309,2023-04-06 06:50:00,1.08921,0,Short,Closed,67,0.00018923302981280587
310,2023-04-10 00:10:00,1.0901399999999999,1,Long,Closed,51,0.0004005939324183417
311,2023-04-10 01:00:00,1.0899,0,Short,Closed,166,0.0002918576435689604
312,2023-04-10 03:50:00,1.09042,0,Long,Closed,352,0.00025982859912764147
313,2023-04-10 06:40:00,1.09004,1,Short,Closed,80,0.00018268233813038693
314,2023-04-10 07:15:00,1.08968,1,Long,Closed,74,0.00018843535909570527
315,2023-04-10 09:15:00,1.08975,0,Short,Closed,149,0.00022064057339893196
316,2023-04-11 01:35:00,1.08641,0,Short,Closed,47,0.00014736769691422858
317,2023-04-11 04:25:00,1.0871,1,Long,Closed,167,0.000259046109756725
318,2023-04-11 05:35:00,1.08834,0,Short,Closed,159,0.00030091952409797316
319,2023-04-11 10:05:00,1.08888,1,Long,Closed,401,0.00034249766249444226
320,2023-04-11 10:35:00,1.08963,0,Short,Closed,361,0.00043686136699623514
321,2023-04-18 00:10:00,1.09228,1,Long,Closed,5,0.0001845951541782518
322,2023-04-18 01:30:00,1.09276,1,Short,Closed,12,0.00012798358912996833
323,2023-04-18 02:10:00,1.09262,1,Long,Closed,38,0.0001312267867753848
324,2023-04-18 03:55:00,1.0924,0,Short,Closed,187,0.00018645250746701232
325,2023-04-18 07:55:00,1.09346,1,Long,Closed,67,0.0001576793708633648
326,2023-04-18 08:15:00,1.09351,0,Short,Closed,78,0.0001725619666604789
327,2023-04-20 02:05:00,1.09521,1,Long,Closed,45,0.00014724072573577172
328,2023-04-20 03:20:00,1.0957,1,Short,Closed,105,0.00019237122217135859
329,2023-04-20 04:20:00,1.09538,1,Long,Closed,140,0.00024962168319528794
330,2023-04-20 04:45:00,1.09562,1,Short,Closed,153,0.00029052231514144184
331,2023-04-20 06:10:00,1.0954,1,Long,Closed,119,0.00025299482712391226
332,2023-04-20 06:55:00,1.09603,1,Short,Closed,86,0.00021681468229272602
333,2023-04-20 07:55:00,1.09579,1,Long,Closed,67,0.00017621959292191014
334,2023-04-20 08:15:00,1.09579,1,Short,Closed,67,0.00019002467184095392
335,2023-04-20 10:30:00,1.0956,1,Long,Closed,350,0.00044349552987159416
